# Star 1011721
# obswvl	obsflux	synthflux	synthfluxup	synthfluxdown	synthflux_nomn
# 
4.738414550781250000e+03 9.877930403953205651e-01 9.638205191726815224e-01 9.618793730421126842e-01 9.653381045402635863e-01 9.696136721370720579e-01
4.738736328125000000e+03 9.883365373420049949e-01 9.676246185463009963e-01 9.649348385489494584e-01 9.697280075041084801e-01 9.756567602620421775e-01
4.739057128906250000e+03 9.771540943478426167e-01 9.672757039270706292e-01 9.642387386478528111e-01 9.696510293707212291e-01 9.763482631990915150e-01
4.739378417968750000e+03 9.708087729169887492e-01 9.643692254658832175e-01 9.615735646908658563e-01 9.665561073007538084e-01 9.727231734925031459e-01
4.739700195312500000e+03 9.608535607532499023e-01 9.602109038878875458e-01 9.581151869379535002e-01 9.618504028042537124e-01 9.664743541118826498e-01
4.740021484375000000e+03 9.326157663714953472e-01 9.555696168302163507e-01 9.542893590858397834e-01 9.565712163364952225e-01 9.593962413002037337e-01
4.740342773437500000e+03 9.453005277833091968e-01 9.506026846623174542e-01 9.499655511661150298e-01 9.511011238933666512e-01 9.525070110489884945e-01
4.740664062500000000e+03 9.238110509691956906e-01 9.451059647511789175e-01 9.448476071951373845e-01 9.453080066963271966e-01 9.458778933516841514e-01
4.740985839843750000e+03 9.299219711953838896e-01 9.394210000291730589e-01 9.393356314041918509e-01 9.394875838038511118e-01 9.396754534118354485e-01
4.741307128906250000e+03 9.114417357582854651e-01 9.353348103459691032e-01 9.353114225493469602e-01 9.353527101040045588e-01 9.354034267447035589e-01
4.741628417968750000e+03 9.060260225165189807e-01 9.352105601628555309e-01 9.352047396356758524e-01 9.352144794680874451e-01 9.352261349802463153e-01
4.741949707031250000e+03 9.074931707722359020e-01 9.399359079837971143e-01 9.399339581673571420e-01 9.399366069731073248e-01 9.399398400180931645e-01
4.742271484375000000e+03 9.390194950016904629e-01 9.481234861525608126e-01 9.481222351929838865e-01 9.481235876022566789e-01 9.481260258321204670e-01
4.742592773437500000e+03 9.924746255054798239e-01 9.574846777837233702e-01 9.574836919020075499e-01 9.574846911520388248e-01 9.574877121311251571e-01
4.742914062500000000e+03 1.003298618334339309e+00 9.665466135347879906e-01 9.665459229015475051e-01 9.665466213161344466e-01 9.665499996409137040e-01
4.743235351562500000e+03 9.796983565602298549e-01 9.746640952557822368e-01 9.746636764277631926e-01 9.746641208326323191e-01 9.746672258275679290e-01
4.743557128906250000e+03 9.646694561682253033e-01 9.811874870044111629e-01 9.811872158799279653e-01 9.811875674831483929e-01 9.811898920556748616e-01
