apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4230.2M21272666+1145502,2M21272666+1145502,321.861089,11.763968,4805.473,2.890923,0.043704,-0.30499,0.25136,-0.1531405,0.03905819
apogee.apo25m.s.stars.4230.2M21272436+1143521,2M21272436+1143521,321.851527,11.731146,4469.487,2.413379,0.13391,-0.016254,0.1455,-0.03415413,0.02188242
apogee.apo25m.s.stars.4230.2M21272327+1211076,2M21272327+1211076,321.846977,12.18547,4956.209,3.123557,0.098916,-0.28815,0.14313,-0.1350899,0.03665885
apogee.apo25m.s.stars.4230.2M21272324+1221277,2M21272324+1221277,321.846862,12.357701,4593.682,2.66638,0.11386,0.21126,0.064575,-0.000973314,0.0185294
apogee.apo25m.s.stars.4230.2M21272054+1248127,2M21272054+1248127,321.835608,12.803549,4938.432,3.245139,0.048978,-0.44873,0.24237,-0.2010505,0.03008317
apogee.apo25m.s.stars.4230.2M21271989+1217290,2M21271989+1217290,321.832889,12.291392,4768.145,3.191069,0.16625,-0.31678,0.10825,-0.1771834,0.02640238
apogee.apo25m.s.stars.4230.2M21271922+1157039,2M21271922+1157039,321.830101,11.951098,4783.794,2.558864,0.16924,-0.28615,0.079248,-0.09705722,0.02608564
apogee.apo25m.s.stars.4230.2M21270939+1249201,2M21270939+1249201,321.789149,12.82226,4600.776,2.640147,0.040645,-0.14032,0.19109,-0.1272476,0.02262312
apogee.apo25m.s.stars.4230.2M21270805+1214542,2M21270805+1214542,321.783562,12.248408,4773.063,2.470522,0.16359,-0.027295,0.036386,-0.002707832,0.02247408
apogee.apo25m.s.stars.4230.2M21270271+1139593,2M21270271+1139593,321.761296,11.666474,5080.802,2.743565,-0.014673,-0.76066,0.30352,-0.3716827,0.06758402
apogee.apo25m.s.stars.4230.2M21270170+1225086,2M21270170+1225086,321.757105,12.419069,4958.502,3.390323,0.020162,0.025762,0.10753,-0.005105954,0.03361565
apogee.apo25m.s.stars.4230.2M21270163+1215554,2M21270163+1215554,321.756811,12.265389,4909.448,2.3944,0.19216,-0.47637,0.26283,-0.1553806,0.03026439
apogee.apo25m.s.stars.4230.2M21270146+1149060,2M21270146+1149060,321.756098,11.818344,5041.864,3.453743,0.035707,-0.19599,0.052525,-0.04527827,0.04701307
apogee.apo25m.s.stars.4230.2M21270013+1224487,2M21270013+1224487,321.750557,12.413528,4866.46,3.026663,0.13478,-0.16536,0.088133,-0.06618471,0.02646485
apogee.apo25m.s.stars.4230.2M21265583+1246443,2M21265583+1246443,321.732628,12.778981,4818.278,3.197804,-0.010481,-0.23563,0.16973,-0.1081469,0.02564504
apogee.apo25m.s.stars.4230.2M21264886+1157489,2M21264886+1157489,321.703606,11.963597,4956.418,3.174396,-0.12862,-0.46487,0.23268,-0.2105357,0.05132105
apogee.apo25m.s.stars.4230.2M21264859+1236226,2M21264859+1236226,321.702488,12.60629,4769.163,3.070231,0.087269,0.19604,0.032289,0.009687051,0.02389319
apogee.apo25m.s.stars.4230.2M21264638+1155173,2M21264638+1155173,321.693278,11.921495,4986.458,3.13933,-0.091904,-0.41303,0.19988,-0.168285,0.04041399
apogee.apo25m.s.stars.4230.2M21264321+1148472,2M21264321+1148472,321.680082,11.813117,4656.817,2.724021,-0.013479,-0.12926,0.20733,-0.09465951,0.04338764
apogee.apo25m.s.stars.4230.2M21263276+1154428,2M21263276+1154428,321.6365,11.91191,4756.747,2.66905,0.14724,-0.33442,0.22459,-0.148371,0.03507885
apogee.apo25m.s.stars.4230.2M21262379+1236429,2M21262379+1236429,321.599143,12.611936,4916.72,2.329299,0.19354,-0.54045,0.28524,-0.2212273,0.04802092
apogee.apo25m.s.stars.4230.2M21262369+1218157,2M21262369+1218157,321.598725,12.304375,4743.122,2.410804,0.14325,-0.15965,0.17087,-0.08758305,0.02397052
apogee.apo25m.s.stars.4230.2M21261733+1219374,2M21261733+1219374,321.572245,12.327058,4950.34,3.293079,0.066249,-0.012213,0.033553,-0.01948781,0.02362763
apogee.apo25m.s.stars.4230.2M21260824+1204240,2M21260824+1204240,321.534364,12.073334,5005.288,2.988017,-0.063937,-0.68796,0.24617,-0.2677504,0.0552259
apogee.apo25m.s.stars.4230.2M21260157+1210215,2M21260157+1210215,321.50658,12.172664,5063.65,3.044159,-0.10124,-0.31688,0.11601,-0.06162021,0.02910933
apogee.apo25m.s.stars.4230.2M21260026+1207036,2M21260026+1207036,321.501086,12.117667,4648.14,2.763973,0.10992,-0.053194,0.10452,-0.08270213,0.02188204
apogee.apo25m.s.stars.4230.2M21294968+1249508,2M21294968+1249508,322.457014,12.830787,4643.891,2.674816,0.12684,0.13136,0.034767,0.005257398,0.01970186
apogee.apo25m.s.stars.4230.2M21295242+1114530,2M21295242+1114530,322.468431,11.24807,4807.045,2.398916,0.19627,-0.90903,0.30562,-0.372943,0.04084596
