Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
2M21272054+1248127	321.835608	12.803549	4938.432	3.245139	-0.44873	0.0	0.24236999999999997	-0.20105050000000002	0.03008317	0.0
2M21271989+1217290	321.832889	12.291392	4768.145	3.1910689999999997	-0.31678	0.0	0.10825	-0.1771834	0.02640238	0.0
2M21271922+1157039	321.83010099999996	11.951098	4783.794	2.558864	-0.28615	0.0	0.079248	-0.09705722	0.02608564	0.0
2M21270939+1249201	321.789149	12.82226	4600.776	2.6401470000000002	-0.14032	0.0	0.19109	-0.12724760000000002	0.02262312	0.0
2M21270805+1214542	321.783562	12.248408	4773.063	2.4705220000000003	-0.027295	0.0	0.036386	-0.0027078320000000003	0.02247408	0.0
2M21270271+1139593	321.761296	11.666474000000001	5080.802	2.7435650000000003	-0.76066	0.0	0.30351999999999996	-0.37168270000000003	0.06758402	0.0
2M21270170+1225086	321.75710499999997	12.419069	4958.502	3.3903230000000004	0.025762	0.0	0.10753	-0.005105954	0.03361565	0.0
2M21270163+1215554	321.75681099999997	12.265389	4909.448	2.3944	-0.47636999999999996	0.0	0.26283	-0.1553806	0.03026439	0.0
2M21270146+1149060	321.756098	11.818344	5041.8640000000005	3.4537430000000002	-0.19599	0.0	0.052525	-0.04527827	0.04701307	0.0
2M21270013+1224487	321.75055699999996	12.413528	4866.46	3.026663	-0.16535999999999998	0.0	0.088133	-0.06618471	0.02646485	0.0
2M21265583+1246443	321.732628	12.778981	4818.278	3.197804	-0.23563	0.0	0.16973	-0.1081469	0.02564504	0.0
2M21264886+1157489	321.703606	11.963597	4956.418	3.1743959999999998	-0.46487	0.0	0.23268000000000003	-0.2105357	0.05132105	0.0
2M21264859+1236226	321.702488	12.60629	4769.163	3.070231	0.19604000000000002	0.0	0.032289	0.009687051	0.02389319	0.0
2M21264638+1155173	321.69327799999996	11.921495	4986.458	3.1393299999999997	-0.41303	0.0	0.19988	-0.168285	0.04041399	0.0
2M21264321+1148472	321.68008199999997	11.813117	4656.817	2.724021	-0.12925999999999999	0.0	0.20733000000000001	-0.09465951	0.04338764	0.0
2M21263276+1154428	321.6365	11.91191	4756.747	2.66905	-0.33442	0.0	0.22459	-0.148371	0.03507885	0.0
2M21262379+1236429	321.599143	12.611936	4916.72	2.3292990000000002	-0.54045	0.0	0.28524	-0.22122729999999996	0.04802092	0.0
2M21262369+1218157	321.598725	12.304375	4743.122	2.410804	-0.15965	0.0	0.17087	-0.08758305	0.02397052	0.0
2M21261733+1219374	321.572245	12.327058000000001	4950.34	3.293079	-0.012213	0.0	0.033553	-0.01948781	0.02362763	0.0
2M21260824+1204240	321.53436400000004	12.073334	5005.288	2.9880169999999997	-0.68796	0.0	0.24616999999999997	-0.26775040000000006	0.0552259	0.0
2M21260157+1210215	321.50658	12.172664	5063.65	3.044159	-0.31688	0.0	0.11600999999999999	-0.06162021	0.02910933	0.0
2M21260026+1207036	321.501086	12.117666999999999	4648.14	2.763973	-0.053194000000000005	0.0	0.10452	-0.08270213	0.02188204	0.0
2M21294968+1249508	322.457014	12.830786999999999	4643.891	2.674816	0.13136	0.0	0.034767	0.005257398000000001	0.01970186	0.0
2M21295242+1114530	322.468431	11.24807	4807.045	2.398916	-0.9090299999999999	0.0	0.30562	-0.37294299999999997	0.04084596	0.0
2M21295245+1153571	322.468564	11.899208999999999	4859.109	3.20132	-0.42296999999999996	0.0	0.23963	-0.2206781	0.04927929	0.0
2M21295310+1253224	322.471254	12.889567999999999	4847.338	2.40369	-0.40548	0.0	0.21361999999999998	-0.10765530000000001	0.02848943	0.0
2M21295615+1111021	322.48399700000004	11.183938000000001	5053.532	3.3369769999999996	-0.2868	0.0	0.079723	-0.09244695	0.03835575	0.0
2M21295978+1305374	322.4991	13.093722999999999	4679.7390000000005	2.584269	-0.26605999999999996	0.0	0.21416999999999997	-0.10991760000000002	0.03488592	0.0
2M21300462+1231598	322.51926299999997	12.533299000000001	4123.878	1.409614	-0.55834	0.0	0.26563000000000003	-0.1949014	0.02445561	0.0
2M21300702+1308262	322.529255	13.140623000000001	4512.116	2.3408330000000004	0.11515999999999998	0.0	0.050025	0.06590956	0.01903533	0.0
2M21300897+1135291	322.537416	11.591436999999999	4896.839	3.267571	-0.31843	0.0	0.22144	-0.128124	0.02757378	0.0
2M21301023+1248077	322.54263599999996	12.802142	4808.920999999999	2.5341869999999997	-0.765	0.0	0.30032	-0.2231237	0.0590062	0.0
2M21301536+1230407	322.564028	12.511313000000001	4492.585999999999	2.375034	0.11245999999999999	0.0	0.021708	0.05252665	0.01894167	0.0
