apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.2247.2M21361816-0053567,2M21361816-0053567,324.075685,-0.899093,4816.912,2.416743,0.17172,-0.29693,0.253,-0.1441717,0.02653283
apogee.apo25m.s.stars.2247.2M21361590-0011281,2M21361590-0011281,324.066255,-0.191152,4413.636,2.093269,0.18149,-0.15988,0.18264,-0.1460284,0.02150292
apogee.apo25m.s.stars.2247.2M21361583-0055120,2M21361583-0055120,324.065992,-0.920017,4947.225,3.388536,0.072878,0.17636,0.017805,0.1032442,0.02123437
apogee.apo25m.s.stars.2247.2M21355785-0015482,2M21355785-0015482,323.991068,-0.263392,4901.157,2.972159,0.10752,-0.26291,0.21102,-0.06074114,0.03520824
apogee.apo25m.s.stars.2247.2M21352579-0058526,2M21352579-0058526,323.857461,-0.981305,4377.075,2.173805,0.14729,0.098341,0.082925,-0.006842747,0.01837793
apogee.apo25m.s.stars.2247.2M21351097-0036279,2M21351097-0036279,323.795743,-0.607752,4898.848,2.74475,0.1327,-0.62952,0.28295,-0.2055996,0.03861992
apogee.apo25m.s.stars.2247.2M21345581-0052594,2M21345581-0052594,323.732579,-0.883181,4902.712,3.261428,-0.20314,-0.32147,0.21944,-0.157659,0.0276746
apogee.apo25m.s.stars.2247.2M21343654-0036409,2M21343654-0036409,323.652262,-0.611382,4855.25,2.393196,0.17831,-0.26973,0.17737,-0.1248571,0.02900128
apogee.apo25m.s.stars.2247.2M21342363-0041490,2M21342363-0041490,323.598482,-0.696959,4947.985,2.666094,0.12303,-0.08037,0.079943,-0.01183602,0.03282771
apogee.apo25m.s.stars.2247.2M21341979-0017282,2M21341979-0017282,323.582467,-0.291173,5021.859,2.379011,0.23274,-0.58613,0.27587,-0.2643245,0.04757594
apogee.apo25m.s.stars.2247.2M21340886-0053254,2M21340886-0053254,323.536956,-0.890403,4174.363,1.766897,0.16037,0.16639,0.071112,-0.05166437,0.01654499
apogee.apo25m.s.stars.2247.2M21340881-0105216,2M21340881-0105216,323.536739,-1.089355,4982.97,3.046221,0.12612,-0.03889,0.024715,-0.0824879,0.02424388
apogee.apo25m.s.stars.2247.2M21335130+0007381,2M21335130+0007381,323.463754,0.127251,4268.755,1.712391,0.19808,-0.14839,0.22564,-0.1090162,0.02036679
apogee.apo25m.s.stars.2247.2M21333489-0100056,2M21333489-0100056,323.395385,-1.001578,4884.599,3.510594,0.10326,0.4097,0.010997,0.07381049,0.02461719
apogee.apo25m.s.stars.2247.2M21323827-0037578,2M21323827-0037578,323.159459,-0.632736,4143.243,1.484294,0.20496,-0.30446,0.24816,-0.1929619,0.02133263
apogee.apo25m.s.stars.2247.2M21321043-0028216,2M21321043-0028216,323.043479,-0.472693,4478.703,2.165835,0.12491,-0.49572,0.29907,-0.2462438,0.03291238
apogee.apo25m.s.stars.2247.2M21320030-0104144,2M21320030-0104144,323.001282,-1.070669,4860.021,3.0496,0.16678,0.044824,0.04093,-0.0399611,0.03359146
apogee.apo25m.s.stars.2247.2M21315400-0058029,2M21315400-0058029,322.975021,-0.967483,4308.854,1.960474,0.16838,-0.023882,0.14661,-0.09188589,0.01924419
apogee.apo25m.s.stars.2247.2M21315170-0011278,2M21315170-0011278,322.965439,-0.191069,4455.253,2.032153,0.13125,-0.59735,0.23012,-0.4016436,0.04760509
apogee.apo25m.s.stars.2247.2M21314176-0114236,2M21314176-0114236,322.924004,-1.239905,4930.676,3.115305,0.14563,-0.062032,0.055375,-0.01979495,0.03040652
apogee.apo25m.s.stars.2247.2M21313313-0042418,2M21313313-0042418,322.888074,-0.711618,4667.663,2.578434,0.15451,0.061807,0.033152,-0.04256103,0.02064693
apogee.apo25m.s.stars.2247.2M21312041-0014410,2M21312041-0014410,322.835062,-0.244737,4796.41,2.5008,0.18761,0.088235,0.022719,-0.009876683,0.02122634
apogee.apo25m.s.stars.2247.2M21310553-0031571,2M21310553-0031571,322.773074,-0.532554,4804.288,2.905488,0.021972,-0.24788,0.19851,-0.1456413,0.03908906
apogee.apo25m.s.stars.2247.2M21305723-0007149,2M21305723-0007149,322.738477,-0.120814,4329.803,1.932723,0.18137,-0.16778,0.22081,-0.1418373,0.02100909
apogee.apo25m.s.stars.2247.2M21305195-0023341,2M21305195-0023341,322.716493,-0.392806,4741.421,2.896425,0.095311,-0.1664,0.20087,-0.1478822,0.03121867
apogee.apo25m.s.stars.2011.2M21362657-0017579,2M21362657-0017579,324.110727,-0.299437,4606.274,2.552189,0.10064,0.096771,0.14258,-0.05750442,0.03290775
apogee.apo25m.s.stars.2011.2M21361816-0053567,2M21361816-0053567,324.075685,-0.899093,4794.027,2.39118,0.21293,-0.29719,0.25367,-0.1530653,0.02633699
apogee.apo25m.s.stars.2011.2M21360818-0029278,2M21360818-0029278,324.034092,-0.49106,4573.347,2.429001,0.16943,0.40007,0.037292,0.08332881,0.01655926
apogee.apo25m.s.stars.2011.2M21360156-0040008,2M21360156-0040008,324.006507,-0.666902,4465.573,1.775955,0.19401,-0.90341,0.28944,-0.2955295,0.0332657
apogee.apo25m.s.stars.2011.2M21355811-0041268,2M21355811-0041268,323.992143,-0.69079,4812.872,2.353678,0.18275,-0.32604,0.21933,-0.1244267,0.0269351
apogee.apo25m.s.stars.2011.2M21355785-0015482,2M21355785-0015482,323.991068,-0.263392,4880.22,2.969845,-0.081142,-0.24843,0.14102,-0.08549909,0.03905202
apogee.apo25m.s.stars.2011.2M21354063-0049253,2M21354063-0049253,323.919323,-0.823716,4770.867,2.275582,0.22678,-0.23544,0.22913,-0.1028444,0.02626755
apogee.apo25m.s.stars.2011.2M21352579-0058526,2M21352579-0058526,323.857461,-0.981305,4377.001,2.209898,0.11943,0.11854,0.07105,-0.01730755,0.01817051
apogee.apo25m.s.stars.2011.2M21344182+0003336,2M21344182+0003336,323.674257,0.059334,4725.467,2.34324,0.17394,-0.27871,0.21362,-0.1815307,0.0417864
apogee.apo25m.s.stars.2011.2M21342634-0007532,2M21342634-0007532,323.609761,-0.13146,4498.117,2.351089,0.16651,0.25547,0.10453,-0.01857895,0.01751481
