Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
2M21354063-0049253	323.919323	-0.823716	4770.867	2.275582	-0.23544	0.0	0.22913000000000003	-0.1028444	0.02626755	0.0
2M21352579-0058526	323.857461	-0.9813049999999999	4377.001	2.209898	0.11854	0.0	0.07105	-0.01730755	0.01817051	0.0
2M21344182+0003336	323.674257	0.059334000000000005	4725.467000000001	2.34324	-0.27871	0.0	0.21361999999999998	-0.1815307	0.0417864	0.0
2M21342634-0007532	323.609761	-0.13146	4498.117	2.351089	0.25547	0.0	0.10453	-0.01857895	0.01751481	0.0
2M21342353-0015222	323.59806499999996	-0.256187	4401.207	1.817837	-0.41571	0.0	0.2699	-0.15742029999999999	0.03780854	0.0
2M21341605-0043362	323.56689900000003	-0.726743	4844.994000000001	3.223761	0.17840999999999999	0.0	0.042582999999999996	-0.033696	0.03070736	0.0
2M21335265-0051395	323.469383	-0.860994	4924.242	2.406418	-0.47993	0.0	0.2281	-0.1405801	0.03047364	0.0
2M21335120-0117156	323.463348	-1.287678	4727.880999999999	2.534401	-0.27199	0.0	0.11472	-0.1295251	0.02540538	0.0
2M21333489-0100056	323.39538500000003	-1.001578	4869.771	3.53948	0.40268000000000004	0.0	0.024327	0.1123435	0.0236041	0.0
2M21332599-0002345	323.358297	-0.042944	4793.871	3.2866370000000003	0.2577	0.0	0.082475	-0.03464064	0.032193900000000004	0.0
2M21331673-0121297	323.319729	-1.358276	4342.611	1.770893	-0.54961	0.0	0.28824	-0.2283654	0.02673662	0.0
2M21323276-0108366	323.1365	-1.143519	4528.113	2.5397529999999997	0.025574	0.0	0.18583	-0.07337126	0.02012232	0.0
2M21322959+0004392	323.123329	0.077573	4724.396	2.4009150000000004	-0.029485	0.0	0.060860000000000004	-0.10288599999999999	0.02214313	0.0
2M21322642-0103175	323.110115	-1.054865	4457.937	2.258354	0.098946	0.0	0.068723	0.07690796	0.018868700000000002	0.0
2M21322243-0014291	323.093475	-0.241443	4067.3759999999997	1.3250549999999999	-0.15887	0.0	0.12483	-0.1160136	0.01916947	0.0
2M21321150-0022533	323.047946	-0.381497	4523.367	2.4296159999999998	0.38487	0.0	0.082474	0.005675554	0.01642739	0.0
2M21321043-0028216	323.043479	-0.47269300000000003	4468.272	2.110492	-0.50253	0.0	0.27093	-0.25987089999999996	0.02655136	0.0
2M21320624-0106160	323.026004	-1.104451	4782.344	3.145855	0.2041	0.0	0.048875	0.003303707	0.02385256	0.0
2M21300943-0121410	322.539314	-1.3614030000000001	4925.402	3.5452	0.30758	0.0	0.0012245	0.11762260000000001	0.02710864	0.0
2M21295258-0056504	322.469117	-0.94734	4897.93	2.831688	-0.34471	0.0	0.20785	-0.145269	0.03817794	0.0
2M21293981-0030302	322.415884	-0.508389	4671.675	2.561313	-0.052122	0.0	0.12167	-0.06783617	0.02203944	0.0
2M21370483-0058342	324.270129	-0.9761850000000001	4722.923	2.331023	-0.25713	0.0	0.23126	-0.1467197	0.02515271	0.0
2M21365191-0038525	324.21632900000003	-0.647938	4613.898	2.142155	-0.53261	0.0	0.26023	-0.11999080000000001	0.02833534	0.0
2M21314466-0012428	322.936122	-0.21189499999999997	4978.3279999999995	3.511925	0.14967	0.0	0.0041413000000000005	0.06346284	0.03103246	0.0
2M21300943-0121410	322.539314	-1.3614030000000001	4911.012	3.5510610000000002	0.30288000000000004	0.0	0.015471	0.1352783	0.03314551	0.0
2M21302627-0118340	322.609477	-1.3094569999999999	4588.289000000001	2.310413	-0.39203000000000005	0.0	0.26209	-0.2104058	0.03643467	0.0
2M21293981-0030302	322.415884	-0.508389	4677.126	2.424964	-0.046379000000000004	0.0	0.12474	-0.07556641	0.03055241	0.0
