#(M)-(MHe)-(Z)-(detonation)
#e.g., 110-100-2-50 corresponds to M=1.1 Msun, MHe=0.10, Z=0.02, He detonation triggered 50 km above core-envelope interface
#B means belt (ring), S means spherical

110-100-0-50    110-100-0.2-50  110-100-1-50    110-100-2-50    110-100-4-50    110-100-6-50    110-100-10-50   110-050-0-B50   110-050-0.2-B50 110-050-1-B50   110-050-2-B50   110-050-4-B50   110-050-6-B50   110-050-10-B50  100-050-0-S50   100-050-0.2-S50 100-050-1-S50   100-050-2-S50   100-050-4-S50   100-050-6-S50   100-050-10-S50  090-150-2-50    095-150-2-50    100-100-2-50    105-100-2-50    110-100-2-50    115-100-2-50    120-050-2-50    090-050-2-B50   095-050-2-B50   100-050-2-B50   105-050-2-B50   110-050-2-B50   120-050-2-B50   090-050-2-S40   095-050-2-S40   100-050-2-S40   105-050-2-S40   110-050-2-S40   120-050-2-S40   
 31 P  9.57e-5  5.89e-5  2.33e-4  3.97e-4  6.62e-4  8.36e-4  1.8e-3   8.39e-5  5.42e-5  2.6e-4   3.54e-4  5.97e-4  8.3e-4   1.11e-3  4.4e-5   2.88e-5  9.33e-5  1.53e-4  2.64e-4  3.74e-4  5.61e-4  9.82e-4  7.65e-4  8.70e-4  6.18e-4  3.97e-4  1.78e-4  2.23e-4  1.65e-3  1.36e-3  1.53e-4  4.58e-4  3.54e-4  1.38e-5  9.78e-4  2.75e-4  1.53e-4  9.56e-5  5.26e-5  1.38e-5 
 32 S  5.40e-2  5.28e-2  6.14e-2  6.8e-2   5.69e-2  5.33e-2  3.91e-2  5.10e-2  4.92e-2  4.96e-2  4.90e-2  4.56e-2  4.16e-2  3.41e-2  7.11e-2  6.89e-2  6.81e-2  6.56e-2  5.89e-2  5.28e-2  4.28e-2  7.66e-2  5.15e-2  5.63e-2  4.93e-2  6.8e-2   4.57e-2  4.25e-2  4.27e-2  5.68e-2  6.56e-2  8.62e-2  4.90e-2  1.54e-2  1.41e-1  8.0e-2   6.56e-2  5.45e-2  4.7e-2   1.54e-2 
 33 S  5.1e-5   1.32e-4  2.73e-4  3.72e-4  4.95e-4  5.45e-4  5.41e-4  4.7e-5   1.6e-4   2.24e-4  3.8e-4   4.10e-4  4.67e-4  4.98e-4  1.64e-5  7.31e-5  1.39e-4  1.89e-4  2.65e-4  3.19e-4  3.71e-4  7.26e-4  6.22e-4  6.84e-4  5.4e-4   3.72e-4  1.82e-4  2.15e-4  9.91e-4  9.46e-4  1.89e-4  3.97e-4  3.8e-4   2.10e-5  8.94e-4  3.18e-4  1.89e-4  1.27e-4  6.98e-5  2.10e-5 
 34 S  6.96e-6  1.26e-4  1.19e-3  2.62e-3  5.68e-3  8.65e-3  1.22e-2  3.93e-6  1.4e-4   8.85e-4  1.97e-3  4.35e-3  6.78e-3  1.9e-2   4.3e-6   1.15e-4  8.82e-4  1.91e-3  4.13e-3  6.58e-3  1.14e-2  3.49e-3  3.43e-3  3.42e-3  3.7e-3   2.62e-3  1.34e-3  1.43e-3  2.98e-3  3.66e-3  1.91e-3  2.73e-3  1.97e-3  1.83e-4  5.22e-3  3.17e-3  1.91e-3  1.12e-3  5.83e-4  1.83e-4 
 36 S  1.19e-9  2.76e-9  3.86e-8  1.77e-7  1.53e-6  4.80e-6  1.51e-5  2.78e-11 1.31e-9  3.34e-8  1.82e-7  1.73e-6  6.42e-6  2.23e-5  4.11e-12 5.80e-10 9.34e-9  6.35e-8  6.23e-7  1.81e-6  4.76e-6  5.53e-7  4.52e-7  5.1e-7   3.46e-7  1.77e-7  6.99e-8  1.5e-7   7.68e-7  7.22e-7  5.59e-8  1.97e-7  1.63e-7  1.24e-9  4.80e-7  1.2e-7   5.59e-8  2.86e-8  3.59e-8  1.24e-9 
 35 Cl 1.2e-5   2.17e-5  8.55e-5  1.51e-4  2.41e-4  2.45e-4  1.90e-4  7.90e-6  1.78e-5  7.8e-5   1.30e-4  2.12e-4  2.35e-4  1.91e-4  8.25e-6  1.80e-5  6.35e-5  1.4e-4   1.57e-4  1.75e-4  1.59e-4  3.69e-4  1.64e-4  1.92e-4  1.42e-4  1.51e-4  7.4e-5   8.76e-5  4.81e-4  3.20e-4  1.4e-4   1.65e-4  1.30e-4  1.33e-5  3.58e-4  1.43e-4  1.4e-4   8.11e-5  4.65e-5  1.33e-5 
 37 Cl 5.1e-6   1.10e-5  2.39e-5  3.26e-5  4.31e-5  4.65e-5  4.30e-5  3.6e-6   8.88e-6  1.73e-5  2.37e-5  3.21e-5  3.67e-5  3.95e-5  2.23e-6  9.59e-6  1.85e-5  2.51e-5  3.32e-5  3.58e-5  3.39e-5  4.17e-5  2.85e-5  3.16e-5  2.41e-5  3.26e-5  1.95e-5  1.98e-5  2.54e-5  3.13e-5  2.51e-5  3.14e-5  2.37e-5  3.72e-6  7.9e-5   3.32e-5  2.51e-5  2.1e-5   1.17e-5  3.72e-6 
 36 Ar 1.8e-2   9.79e-3  1.4e-2   9.73e-3  8.24e-3  7.39e-3  5.25e-3  1.2e-2   8.94e-3  8.21e-3  7.52e-3  6.22e-3  5.18e-3  3.69e-3  1.55e-2  1.41e-2  1.28e-2  1.15e-2  9.49e-3  8.2e-3   6.1e-3   1.7e-2   6.82e-3  7.39e-3  7.10e-3  9.73e-3  7.81e-3  6.95e-3  4.1e-3   6.94e-3  1.15e-2  1.32e-2  7.52e-3  3.19e-3  1.88e-2  1.34e-2  1.15e-2  9.40e-3  7.42e-3  3.19e-3 
 38 Ar 2.93e-6  6.44e-5  6.1e-4   1.32e-3  2.76e-3  3.98e-3  4.53e-3  1.6e-6   6.0e-5   4.77e-4  1.4e-3   2.19e-3  3.21e-3  4.63e-3  6.21e-7  8.62e-5  6.28e-4  1.34e-3  2.70e-3  3.87e-3  5.30e-3  1.70e-3  1.6e-3   1.13e-3  9.58e-4  1.32e-3  7.79e-4  7.89e-4  6.34e-4  9.8e-4   1.34e-3  1.39e-3  1.4e-3   1.43e-4  3.40e-3  1.88e-3  1.34e-3  9.84e-4  5.11e-4  1.43e-4 
 40 Ar 2.32e-10 2.41e-10 8.66e-10 3.35e-9  3.53e-8  1.14e-7  2.94e-7  4.66e-12 1.12e-11 3.25e-10 3.4e-9   3.91e-8  1.46e-7  4.31e-7  7.66e-14 4.26e-12 1.64e-10 1.71e-9  1.62e-8  4.42e-8  1.14e-7  9.42e-9  6.9e-9   7.36e-9  4.63e-9  3.35e-9  1.3e-9   1.60e-9  1.51e-8  1.21e-8  1.69e-9  3.35e-9  3.1e-9   6.50e-11 9.41e-9  2.57e-9  1.69e-9  1.25e-9  8.67e-10 6.50e-11
 39 K  9.47e-6  2.30e-5  7.10e-5  1.7e-4   1.45e-4  1.49e-4  1.5e-4   7.10e-6  2.5e-5   5.70e-5  8.52e-5  1.15e-4  1.21e-4  1.3e-4   5.8e-6   2.17e-5  6.27e-5  9.25e-5  1.22e-4  1.24e-4  1.2e-4   1.46e-4  8.23e-5  9.61e-5  6.56e-5  1.7e-4   7.4e-5   6.75e-5  6.37e-5  6.25e-5  9.25e-5  1.3e-4   8.52e-5  1.65e-5  2.56e-4  1.13e-4  9.25e-5  7.56e-5  4.69e-5  1.65e-5 
 40 K  4.96e-8  5.13e-8  8.32e-8  1.23e-7  2.25e-7  2.24e-7  1.15e-7  5.89e-10 1.90e-9  1.41e-8  5.41e-8  1.58e-7  1.83e-7  9.4e-8   4.81e-11 1.58e-9  1.21e-8  3.84e-8  8.59e-8  9.1e-8   5.60e-8  1.72e-7  6.69e-8  9.10e-8  5.43e-8  1.23e-7  2.30e-8  2.92e-8  2.77e-7  1.69e-7  3.86e-8  5.74e-8  5.44e-8  3.13e-9  1.59e-7  5.28e-8  3.86e-8  3.31e-8  1.73e-8  3.13e-9 
 41 K  2.12e-6  3.87e-6  6.60e-6  8.47e-6  9.95e-6  9.58e-6  7.29e-6  1.20e-6  2.76e-6  4.41e-6  5.66e-6  6.76e-6  6.64e-6  5.36e-6  7.4e-7   2.71e-6  4.54e-6  5.64e-6  6.64e-6  6.37e-6  4.80e-6  1.0e-5   6.10e-6  6.97e-6  5.23e-6  8.47e-6  5.44e-6  5.4e-6   1.43e-8  1.31e-8  3.14e-9  5.6e-9   4.25e-9  3.56e-10 1.23e-8  4.90e-9  3.14e-9  2.38e-9  1.45e-9  3.56e-10
 40 Ca 1.11e-2  9.73e-3  9.38e-3  8.49e-3  7.14e-3  6.79e-3  5.45e-3  1.6e-2   8.91e-3  7.69e-3  6.87e-3  5.71e-3  4.96e-3  3.97e-3  1.61e-2  1.40e-2  1.19e-2  1.4e-2   8.49e-3  7.33e-3  5.81e-3  9.56e-3  6.91e-3  7.39e-3  6.71e-3  8.49e-3  7.38e-3  6.36e-3  2.55e-3  4.83e-3  1.4e-2   1.2e-2   6.87e-3  4.7e-3   1.17e-2  1.12e-2  1.4e-2   7.54e-3  6.70e-3  4.7e-3  
 42 Ca 2.55e-6  4.15e-6  2.13e-5  4.53e-5  8.90e-5  1.17e-4  1.12e-4  2.10e-6  3.60e-6  1.63e-5  3.39e-5  6.60e-5  8.89e-5  1.5e-4   3.55e-7  2.58e-6  1.97e-5  4.24e-5  7.93e-5  1.1e-4   1.10e-4  5.98e-5  3.53e-5  3.97e-5  3.7e-5   4.53e-5  2.70e-5  2.76e-5  1.78e-5  2.49e-5  4.24e-5  4.9e-5   3.39e-5  6.97e-6  1.3e-4   5.63e-5  4.24e-5  3.24e-5  1.85e-5  6.97e-6 
 43 Ca 1.29e-5  1.30e-5  1.32e-5  1.30e-5  1.31e-5  1.30e-5  1.20e-5  1.36e-5  1.37e-5  1.39e-5  1.39e-5  1.38e-5  1.38e-5  1.39e-5  1.31e-5  1.36e-5  1.39e-5  1.38e-5  1.36e-5  1.36e-5  1.37e-5  2.32e-5  2.29e-5  2.66e-5  1.55e-5  1.30e-5  1.18e-5  1.22e-5  6.12e-6  1.55e-6  1.38e-5  3.98e-6  1.39e-5  1.22e-5  1.22e-6  4.26e-6  1.38e-5  5.89e-6  7.6e-6   1.22e-5 
 44 Ca 5.52e-4  5.49e-4  5.15e-4  5.14e-4  5.13e-4  5.13e-4  4.74e-4  6.2e-4   6.1e-4   6.0e-4   5.99e-4  6.0e-4   5.97e-4  5.97e-4  2.78e-4  2.76e-4  2.65e-4  2.63e-4  2.61e-4  2.60e-4  2.59e-4  1.0e-3   1.4e-3   1.15e-3  6.58e-4  5.14e-4  3.69e-4  5.11e-4  2.56e-5  5.0e-6   2.89e-5  1.13e-5  6.55e-5  6.17e-5  3.81e-6  6.72e-6  2.89e-5  6.32e-6  2.11e-5  6.17e-5 
 46 Ca 6.40e-12 6.41e-12 2.80e-11 1.78e-10 9.73e-10 7.95e-9  2.18e-9  1.84e-16 4.41e-15 2.86e-12 6.92e-11 9.5e-10  2.14e-9  2.49e-9  3.99e-20 8.14e-16 1.79e-12 4.90e-11 5.11e-10 1.13e-9  1.43e-9  1.75e-10 1.59e-10 1.75e-10 1.15e-10 1.78e-10 2.52e-11 3.70e-11 2.58e-10 2.53e-10 4.90e-11 7.11e-11 6.92e-11 2.26e-12 2.42e-10 7.92e-11 4.90e-11 4.55e-11 1.93e-11 2.26e-12
 48 Ca 1.93e-15 1.93e-15 1.53e-14 9.31e-12 7.31e-14 1.36e-10 2.20e-12 4.80e-23 3.60e-21 5.54e-18 5.8e-16  6.53e-14 5.43e-13 3.19e-12 2.1e-25  1.61e-22 9.58e-18 9.28e-16 6.1e-14  3.6e-13  1.10e-12 1.46e-15 7.77e-16 9.33e-16 5.85e-16 9.31e-12 1.11e-16 2.31e-16 1.72e-15 1.43e-15 9.28e-16 5.10e-16 5.8e-16  4.93e-18 1.85e-15 9.88e-16 9.28e-16 7.92e-16 7.98e-16 4.93e-18
 45 Sc 1.54e-6  1.61e-6  1.60e-6  1.67e-6  1.72e-6  1.61e-6  1.45e-6  6.14e-7  6.72e-7  7.34e-7  7.81e-7  8.9e-7   7.97e-7  7.65e-7  2.8e-7   2.72e-7  3.35e-7  3.77e-7  4.21e-7  4.18e-7  3.91e-7  1.57e-6  1.33e-6  1.45e-6  1.2e-6   1.67e-6  1.59e-6  5.84e-7  3.45e-7  3.35e-7  3.77e-7  3.70e-7  7.81e-7  5.19e-7  6.22e-7  3.73e-7  3.77e-7  2.18e-7  7.16e-7  5.19e-7 
 46 Ti 8.89e-6  9.57e-6  1.96e-5  2.94e-5  4.46e-5  5.13e-5  4.25e-5  9.74e-7  1.64e-6  7.69e-6  1.53e-5  2.72e-5  3.35e-5  3.33e-5  8.53e-7  1.70e-6  9.45e-6  1.85e-5  3.9e-5   3.61e-5  3.42e-5  3.44e-5  1.68e-5  1.95e-5  1.62e-5  2.94e-5  1.87e-5  1.43e-5  6.57e-6  1.1e-5   1.85e-5  1.91e-5  1.53e-5  5.39e-6  5.46e-5  2.20e-5  1.85e-5  1.50e-5  1.41e-5  5.39e-6 
