apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.5200.2M15161992+0151592,2M15161992+0151592,229.083029,1.866456,5002.003,2.588346,0.066903,-0.63248,0.26359,-0.3352355,0.0678535
apogee.apo25m.s.stars.5200.2M15162202+0149258,2M15162202+0149258,229.091752,1.823837,4352.101,1.880993,0.16571,-0.61341,0.3155,-0.3317354,0.02720114
apogee.apo25m.s.stars.5200.2M15162233+0148097,2M15162233+0148097,229.093057,1.802721,5063.609,2.35083,0.17145,-0.65748,0.28899,-0.2040816,0.05114851
apogee.apo25m.s.stars.5200.2M15162420+0115410,2M15162420+0115410,229.100865,1.261401,4702.438,2.495025,-0.011566,0.071827,0.041914,-0.06069161,0.02076825
apogee.apo25m.s.stars.5200.2M15164780+0220043,2M15164780+0220043,229.1992,2.334547,4494.189,2.008985,0.15735,-0.41179,0.090466,-0.1668258,0.02544477
apogee.apo25m.s.stars.5200.2M15171727+0143268,2M15171727+0143268,229.321992,1.724138,4584.271,2.580859,0.090902,0.016562,0.14708,-0.08549558,0.02911036
apogee.apo25m.s.stars.5200.2M15173426+0120293,2M15173426+0120293,229.392771,1.341493,5045.73,2.266908,0.2403,-0.95026,0.24019,-0.4343071,0.1243865
apogee.apo25m.s.stars.5200.2M15173828+0114443,2M15173828+0114443,229.40953,1.245643,4864.245,3.235436,-0.0872,-0.57646,0.17544,-0.2285588,0.06551309
apogee.apo25m.s.stars.5200.2M15174941+0235463,2M15174941+0235463,229.455886,2.596196,4878.232,3.09009,0.11671,-0.089446,0.11069,-0.007858999,0.038337
apogee.apo25m.s.stars.5200.2M15175007+0212567,2M15175007+0212567,229.458626,2.215774,4528.561,2.746695,0.061719,0.4073,0.04969,0.1473183,0.0162504
apogee.apo25m.s.stars.5200.2M15175270+0109384,2M15175270+0109384,229.469618,1.160677,4989.333,3.225381,-0.1842,-0.53139,0.23627,-0.2005907,0.06386729
apogee.apo25m.s.stars.5200.2M15175403+0203404,2M15175403+0203404,229.475163,2.06123,4642.727,2.332942,0.18766,0.097529,0.11166,-0.1130924,0.02007146
apogee.apo25m.s.stars.5200.2M15182534+0222147,2M15182534+0222147,229.605594,2.370767,4748.763,2.295392,0.10317,-0.8399,0.30218,-0.4877233,0.06354956
apogee.apo25m.s.stars.5200.2M15182728+0231044,2M15182728+0231044,229.6137,2.517889,5041.405,2.371447,0.18133,-0.59644,0.24701,-0.04304802,0.04618181
apogee.apo25m.s.stars.5200.2M15183679+0206171,2M15183679+0206171,229.653322,2.104772,4884.214,2.044619,0.34726,-0.99834,0.12061,-0.240644,0.05727555
apogee.apo25m.s.stars.5200.2M15183728+0236564,2M15183728+0236564,229.65534,2.615688,4400.583,2.243196,0.077851,0.14723,0.018455,0.04012033,0.01802031
apogee.apo25m.s.stars.5200.2M15184426+0240156,2M15184426+0240156,229.684435,2.671005,4960.034,2.277818,0.19186,-0.70828,0.30254,-0.2166263,0.03507489
apogee.apo25m.s.stars.5200.2M15185290+0158132,2M15185290+0158132,229.720425,1.970352,4875.974,2.721931,0.11692,-0.60341,0.222,-0.1805304,0.0442097
apogee.apo25m.s.stars.5200.2M15191282+0303378,2M15191282+0303378,229.803442,3.060523,4715.029,2.410199,0.15494,0.086336,0.087634,-0.01997703,0.02068572
apogee.apo25m.s.stars.5200.2M15194125+0202293,2M15194125+0202293,229.921906,2.041484,4778.399,2.381418,0.12994,-0.29146,0.21705,-0.1180122,0.02611713
apogee.apo25m.s.stars.5200.2M15194289+0301564,2M15194289+0301564,229.92871,3.032361,4659.691,2.835935,0.098199,0.26352,0.051963,0.05696371,0.02301039
apogee.apo25m.s.stars.5200.2M15195845+0121471,2M15195845+0121471,229.993543,1.363091,4982.5,2.387552,0.17201,-0.48648,0.28654,-0.05167663,0.05364572
