Cluster	OName	ID	Teff	log(g)	VTurb	[Fe/H]L	[Fe/H]	[Mn/Fe]	SimbadName	_RA	_DE
NGC 362 	   	1401    	3875	 0.00	 1.90	-1.32	-1.39	-0.34	Cl* NGC 362 HAR 1401      	015.89854	-70.84835
NGC 362 	   	1423    	3950	 0.10	 2.35	-1.37	-1.42	-0.41	Cl* NGC 362 HAR 1423      	015.88749	-70.82715
NGC 362 	   	1441    	3975	 0.20	 1.90	-1.31	-1.44	-0.29	Cl* NGC 362 HAR 1441      	015.84043	-70.81130
NGC 362 	   	2115    	3900	 0.00	 2.30	-1.38	-1.49	-0.32	Cl* NGC 362 HAR 2115      	015.68036	-70.81346
NGC 362 	   	2127    	4110	 0.60	 2.25	-1.30	-1.52	-0.39	Cl* NGC 362 HAR 2127      	015.65672	-70.84369
NGC 362 	   	2423    	4000	 0.40	 1.85	-1.32	-1.42	-0.41	Cl* NGC 362 HAR 2423      	015.89540	-70.80232
NGC 362 	   	77      	4075	 0.20	 2.50	-1.34	-1.41	-0.34	                          	         	
NGC 362 	   	MB2     	4100	 0.60	 2.25	-1.30	-1.58	-0.20	Cl* NGC 362 MB 2          	015.78288	-70.82974
NGC 362 	   	V2      	3950	 0.10	 2.70	-1.30	-1.58	-0.48	Cl* NGC 362 Saw V2        	016.26082	-70.63802
NGC 3201	   	5       	4750	 1.80	 1.70	-1.38	-1.53	-0.42	Cl* NGC 3201 CWFD 3-5     	154.03100	-46.25475
NGC 3201	   	8       	4410	 1.50	 1.80	-1.17	-1.56	-0.28	Cl* NGC 3201 CWFD 3-8     	154.06046	-46.15019
NGC 3201	   	9       	4600	 1.90	 1.70	-1.18	-1.45	-0.34	Cl* NGC 3201 CWFD 3-9     	154.08792	-46.23161
NGC 3201	   	42      	4500	 1.50	 2.00	-1.32	-1.65	-0.29	Cl* NGC 3201 CWFD 3-42    	154.27000	-46.62269
NGC 3201	   	112     	4350	 1.30	 1.60	-1.38	-1.64	-0.18	Cl* NGC 3201 CWFD 3-112   	154.35275	-46.40850
NGC 3201	   	121     	4000	 0.00	 2.00	-1.40	-1.56	-0.42	Cl* NGC 3201 CWFD 3-121   	154.35754	-46.43931
NGC 3201	   	168     	4100	 0.20	 1.80	-1.42	-1.61	-0.30	Cl* NGC 3201 CWFD 3-168   	154.38150	-46.48369
NGC 3201	   	238     	4250	 0.90	 1.80	-1.42	-1.53	-0.44	Cl* NGC 3201 CWFD 3-238   	154.40850	-46.37761
NGC 3201	   	293     	4250	 1.20	 1.80	-1.39	-1.56	-0.38	Cl* NGC 3201 CWFD 3-293   	154.42475	-46.40278
NGC 3201	   	301     	4250	 1.00	 2.20	-1.49	-1.65	-0.33	Cl* NGC 3201 CWFD 3-301   	154.42708	-46.45431
NGC 3201	   	312     	4250	 0.70	 1.80	-1.47	-1.49	-0.49	Cl* NGC 3201 CWFD 3-312   	154.43392	-46.42406
NGC 3201	   	318     	4350	 0.80	 1.90	-1.52	-1.59	-0.39	Cl* NGC 3201 CWFD 3-318   	154.43683	-46.40181
NGC 3201	   	357     	4150	 0.70	 2.00	-1.55	-1.78	-0.21	Cl* NGC 3201 CWFD 3-357   	154.46437	-46.36939
NGC 3201	   	419     	4500	 1.20	 1.70	-1.28	-1.40	-0.58	Cl* NGC 3201 CWFD 3-419   	154.97104	-46.22775
NGC 6287	   	1491    	4375	 1.00	 1.75	-2.15	-2.28	-0.30	                          	         	
NGC 6287	   	1387    	4250	 0.80	 1.90	-2.10	-2.33	-0.26	                          	         	
NGC 6293	   	2673    	4250	 0.50	 1.90	-2.16	-2.24	-0.35	                          	         	
NGC 6293	   	3857    	4450	 0.70	 1.75	-2.18	-2.40	-0.39	                          	         	
NGC 6528	   	I-42    	4200	 1.60	 1.20	-0.14	-0.34	-0.23	Cl* NGC 6528 VY I-42      	271.19875	-30.06306
NGC 6528	   	I-36    	4300	 1.50	 1.50	-0.13	-0.37	-0.21	Cl* NGC 6528 VY I-36      	271.21208	-30.06333
NGC 6528	   	I-18    	4800	 2.00	 1.50	-0.05	-0.03	-0.33	Cl* NGC 6528 VY I-18      	271.20708	-30.05056
NGC 6541	   	I-44    	4250	 0.70	 1.85	-1.85	-1.95	-0.28	                          	         	
NGC 6541	   	II-113  	4200	 0.50	 1.80	-1.86	-1.91	-0.36	                          	         	
NGC 6705	M11	660     	4500	 1.50	 2.00	 0.05	 0.03	-0.43	NGC 6705 660              	282.81589	-06.30398
NGC 6705	M11	669     	4500	 1.40	 2.00	 0.09	 0.18	-0.32	NGC 6705 669              	282.81433	-06.30987
NGC 6705	M11	686     	4600	 2.00	 2.00	 0.13	 0.13	-0.45	NGC 6705 686              	282.81097	-06.28188
NGC 6705	M11	779     	4250	 1.60	 2.50	-0.01	-0.07	-0.49	NGC 6705 779              	282.79692	-06.24270
NGC 6705	M11	916     	4500	 1.30	 2.00	 0.01	-0.04	-0.34	NGC 6705 916              	282.78322	-06.28661
NGC 6705	M11	926     	4500	 1.50	 2.00	-0.21	-0.59	-0.38	NGC 6705 926              	282.78212	-06.27414
NGC 6705	M11	1184    	4600	 2.20	 2.00	 0.24	 0.24	-0.30	NGC 6705 1184             	282.75881	-06.29059
NGC 6705	M11	1223    	4750	 2.50	 2.00	 0.19	-0.06	-0.39	NGC 6705 1223             	282.75429	-06.24889
NGC 6705	M11	1256    	4600	 2.50	 2.00	 0.31	 0.28	-0.17	NGC 6705 1256             	282.75141	-06.28306
NGC 6705	M11	1423    	4750	 2.90	 2.50	 0.21	 0.04	-0.05	NGC 6705 1423             	282.73303	-06.30399
NGC 6752	   	1       	4749	 1.95	 1.41	-1.58	-1.69	-0.43	Cl* NGC 6752 YGN 1        	287.69583	-60.01167
NGC 6752	   	2       	4779	 1.98	 1.39	-1.59	-1.69	-0.48	Cl* NGC 6752 YGN 2        	287.79583	-60.00500
NGC 6752	   	3       	4796	 2.03	 1.42	-1.64	-1.74	-0.39	Cl* NGC 6752 YGN 3        	287.75000	-59.94500
NGC 6752	   	4       	4806	 2.04	 1.40	-1.61	-1.66	-0.46	Cl* NGC 6752 YGN 4        	287.88750	-60.00000
NGC 6752	   	6       	4804	 2.06	 1.40	-1.61	-1.87	-0.38	Cl* NGC 6752 YGN 6        	287.64167	-59.99833
NGC 6752	   	7       	4829	 2.10	 1.33	-1.84	-1.74	-0.53	Cl* NGC 6752 YGN 7        	287.73750	-60.01167
NGC 6752	   	8       	4910	 2.15	 1.33	-1.62	-1.60	-0.43	Cl* NGC 6752 YGN 8        	287.68750	-59.97167
NGC 6752	   	9       	4824	 2.11	 1.38	-1.63	-1.72	-0.41	Cl* NGC 6752 YGN 9        	287.60833	-59.98500
NGC 6752	   	10      	4836	 2.13	 1.37	-1.60	-1.63	-0.52	Cl* NGC 6752 YGN 10       	287.82500	-59.99500
NGC 6752	   	11      	4829	 2.13	 1.32	-1.64	-1.65	-0.47	Cl* NGC 6752 YGN 11       	287.70833	-60.04000
NGC 6752	   	12      	4841	 2.15	 1.34	-1.62	-1.72	-0.40	Cl* NGC 6752 YGN 12       	287.58333	-60.00833
NGC 6752	   	15      	4850	 2.19	 1.35	-1.61	-1.75	-0.45	Cl* NGC 6752 YGN 15       	287.70417	-60.03167
NGC 6752	   	16      	4906	 2.24	 1.32	-1.60	-1.73	-0.44	Cl* NGC 6752 YGN 16       	287.56250	-59.98667
NGC 6752	   	19      	4928	 2.32	 1.29	-1.61	-1.75	-0.49	Cl* NGC 6752 YGN 19       	287.84583	-59.99500
NGC 6752	   	20      	4929	 2.33	 1.32	-1.59	-1.69	-0.48	Cl* NGC 6752 YGN 20       	287.65000	-59.93500
Pal 12  	   	S1      	3900	 0.63	 1.80	-0.76	-0.81	-0.31	                          	         	
Pal 12  	   	1118    	4000	 0.84	 1.80	-0.80	-0.82	-0.35	                          	         	
Pal 12  	   	1128    	4260	 1.30	 1.70	-0.82	-0.84	-0.40	                          	         	
Pal 12  	   	1305    	4465	 1.62	 1.70	-0.80	-0.84	-0.38	                          	         	

